"","From","To","Type"
"1","GKA","AYGA","Airport"
"2","MAG","AYMD","Airport"
"3","HGU","AYMH","Airport"
"4","LAE","AYNZ","Airport"
"5","POM","AYPY","Airport"
"6","WWK","AYWK","Airport"
"7","UAK","BGBW","Airport"
"8","GOH","BGGH","Airport"
"9","SFJ","BGSF","Airport"
"11","AEY","BIAR","Airport"
"12","EGS","BIEG","Airport"
"13","HFN","BIHN","Airport"
"14","HZK","BIHU","Airport"
"15","IFJ","BIIS","Airport"
"16","KEF","BIKF","Airport"
"17","PFJ","BIPA","Airport"
"18","RKV","BIRK","Airport"
"19","SIJ","BISI","Airport"
"20","VEY","BIVM","Airport"
"21","YAM","CYAM","Airport"
"24","YAY","CYAY","Airport"
"25","YAZ","CYAZ","Airport"
"26","YBB","CYBB","Airport"
"27","YBC","CYBC","Airport"
"29","YBK","CYBK","Airport"
"30","YBL","CYBL","Airport"
"31","YBR","CYBR","Airport"
"32","YCB","CYCB","Airport"
"33","YCD","CYCD","Airport"
"34","YCG","CYCG","Airport"
"35","YCH","CYCH","Airport"
"36","YCL","CYCL","Airport"
"37","YCO","CYCO","Airport"
"38","YCT","CYCT","Airport"
"39","YCW","CYCW","Airport"
"40","YCY","CYCY","Airport"
"41","YZS","CYZS","Airport"
"42","YDA","CYDA","Airport"
"43","YDB","CYDB","Airport"
"45","YDF","CYDF","Airport"
"46","YDL","CYDL","Airport"
"47","YDN","CYDN","Airport"
"48","YDQ","CYDQ","Airport"
"49","YEG","CYEG","Airport"
"50","YEK","CYEK","Airport"
"51","YEN","CYEN","Airport"
"52","YET","CYET","Airport"
"53","YEU","CYEU","Airport"
"54","YEV","CYEV","Airport"
"55","YFB","CYFB","Airport"
"56","YFC","CYFC","Airport"
"57","YFE","CYFE","Airport"
"58","YFO","CYFO","Airport"
"59","YFR","CYFR","Airport"
"60","YFS","CYFS","Airport"
"61","YGK","CYGK","Airport"
"62","YGL","CYGL","Airport"
"63","YGP","CYGP","Airport"
"64","YGQ","CYGQ","Airport"
"65","YGR","CYGR","Airport"
"66","YHB","CYHB","Airport"
"67","YHD","CYHD","Airport"
"68","YHI","CYHI","Airport"
"69","YHK","CYHK","Airport"
"70","YHM","CYHM","Airport"
"71","YHU","CYHU","Airport"
"72","YHY","CYHY","Airport"
"73","YHZ","CYHZ","Airport"
"74","YIB","CYIB","Airport"
"75","YIO","CYIO","Airport"
"76","YJN","CYJN","Airport"
"77","YJT","CYJT","Airport"
"78","YKA","CYKA","Airport"
"79","YKF","CYKF","Airport"
